,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
24,1547979720000,0.008877,0.008882,0.008871,0.00888,146.75,1547979779999,1.30272241,29,95.0,0.84339563,0
25,1547979780000,0.008877,0.008881,0.008876,0.008876,98.43,1547979839999,0.87381731,18,92.82,0.82402295,0
26,1547979840000,0.008877,0.008879,0.008876,0.008878,92.59,1547979899999,0.82197433,18,80.04,0.71056186,0
27,1547979900000,0.008878,0.008878,0.008877,0.008877,83.03,1547979959999,0.73709045,14,66.79,0.59292797,0
28,1547979960000,0.008877,0.008881,0.008877,0.008879,208.27,1547980019999,1.84918864,27,180.1,1.59906773,0
29,1547980020000,0.00888,0.008882,0.008878,0.008881,156.8,1547980079999,1.39231247,21,81.08,0.72000907,0
30,1547980080000,0.008881,0.008881,0.008879,0.008879,71.91,1547980139999,0.63856256,13,66.41,0.58972256,0
31,1547980140000,0.008879,0.008881,0.008877,0.008877,138.97,1547980199999,1.23386602,16,52.33,0.46465419,0
32,1547980200000,0.008877,0.008878,0.008869,0.008869,72.72,1547980259999,0.64536949,13,27.93,0.24790075,0
33,1547980260000,0.008869,0.008878,0.008869,0.008871,148.13,1547980319999,1.31431007,21,97.17,0.86226124,0
34,1547980320000,0.008869,0.008878,0.008854,0.008859,433.59,1547980379999,3.84285743,61,45.58,0.404051,0
35,1547980380000,0.008865,0.008872,0.008861,0.008866,95.95,1547980439999,0.8507088,27,49.13,0.43564677,0
36,1547980440000,0.008873,0.008873,0.008863,0.008863,60.99,1547980499999,0.54076861,17,28.9,0.25628184,0
